;PC Software:PMManager Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the PMManager Log reader from opening the file correctly. ********
;Logged:14/11/2020 at 15:04:48
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Sample:of period: 00:00:06
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:843-R-USB Thermopile 919P-030-18 (s/n:950105)  EF1.39 (s/n:947127)
;Channel B:841-PE-USB Thermopile 919P-030-18 (s/n:904190)  FO2.04 (s/n:903878)

;Channel A:Details
;Name:919P-030-18
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:370
;Settings:Range:AUTO

;Channel B:Details
;Name:919P-030-18
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:380
;Settings:Range:AUTO

;Channel A:Statistics
;Min:-5.000mW            
;Max:2.618W              
;Average:2.472W              
;Std.Dev.:44.25mW             
;Overrange:0                   

;Channel B:Statistics
;Min:-2.000mW            
;Max:2.793W              
;Average:2.689W              
;Std.Dev.:40.39mW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 14/11/2020 at 15:04:48.636000
  Timestamp   	  Channel A  	  Channel B  	
       918.034	             	  2.751e+000 	
       918.064	  2.528e+000 	             	
       924.033	             	  2.763e+000 	
       924.062	  2.537e+000 	             	
       930.032	             	  2.754e+000 	
       930.061	  2.533e+000 	             	
       936.030	             	  2.753e+000 	
       936.060	  2.535e+000 	             	
       942.029	             	  2.754e+000 	
       942.064	  2.531e+000 	             	
       948.028	             	  2.755e+000 	
       948.056	  2.543e+000 	             	
       954.027	             	  2.755e+000 	
       954.056	  2.541e+000 	             	
       960.026	             	  2.759e+000 	
       960.054	  2.530e+000 	             	
       966.024	             	  2.755e+000 	
       966.053	  2.525e+000 	             	
       972.023	             	  2.759e+000 	
       972.057	  2.522e+000 	             	
       978.022	             	  2.756e+000 	
       978.050	  2.531e+000 	             	
       984.049	  2.536e+000 	             	
       984.087	             	  2.754e+000 	
       990.048	  2.545e+000 	             	
       990.086	             	  2.750e+000 	
       996.047	  2.539e+000 	             	
       996.085	             	  2.755e+000 	
      1002.051	  2.532e+000 	             	
      1002.084	             	  2.756e+000 	
      1008.044	  2.539e+000 	             	
      1008.082	             	  2.751e+000 	
      1014.042	  2.537e+000 	             	
      1014.081	             	  2.756e+000 	
      1020.041	  2.539e+000 	             	
      1020.080	             	  2.753e+000 	
      1026.043	  2.541e+000 	             	
      1026.079	             	  2.753e+000 	
      1032.038	  2.531e+000 	             	
      1032.078	             	  2.756e+000 	
      1038.037	  2.541e+000 	             	
      1038.076	             	  2.754e+000 	
      1044.035	  2.528e+000 	             	
      1044.075	             	  2.756e+000 	
      1050.034	  2.538e+000 	             	
      1050.074	             	  2.756e+000 	
      1056.036	  2.525e+000 	             	
      1056.073	             	  2.753e+000 	
      1062.031	  2.536e+000 	             	
      1062.071	             	  2.756e+000 	
      1068.030	  2.532e+000 	             	
      1068.070	             	  2.749e+000 	
      1074.029	  2.538e+000 	             	
      1074.069	             	  2.754e+000 	
      1080.027	  2.530e+000 	             	
      1080.068	             	  2.753e+000 	
      1086.031	  2.536e+000 	             	
      1086.067	             	  2.754e+000 	
      1092.025	  2.537e+000 	             	
      1092.065	             	  2.752e+000 	
      1098.023	  2.537e+000 	             	
      1098.064	             	  2.757e+000 	
      1104.022	  2.532e+000 	             	
      1104.063	             	  2.753e+000 	
      1110.021	  2.539e+000 	             	
      1110.062	             	  2.749e+000 	
      1116.025	  2.536e+000 	             	
      1116.060	             	  2.754e+000 	
      1122.018	  2.533e+000 	             	
      1122.059	             	  2.748e+000 	
      1128.017	  2.536e+000 	             	
      1128.058	             	  2.749e+000 	
      1134.016	  2.541e+000 	             	
      1134.057	             	  2.750e+000 	
      1140.015	  2.528e+000 	             	
      1140.056	             	  2.757e+000 	
      1146.019	  2.524e+000 	             	
      1146.054	             	  2.751e+000 	
      1152.012	  2.538e+000 	             	
      1152.053	             	  2.751e+000 	
      1158.011	  2.531e+000 	             	
      1158.052	             	  2.758e+000 	
      1164.009	  2.543e+000 	             	
      1164.051	             	  2.754e+000 	
      1170.009	  2.534e+000 	             	
      1170.049	             	  2.756e+000 	
      1176.012	  2.535e+000 	             	
      1176.048	             	  2.753e+000 	
      1182.004	  2.533e+000 	             	
      1182.047	             	  2.753e+000 	
      1188.004	  2.529e+000 	             	
      1188.046	             	  2.757e+000 	
      1194.002	  2.536e+000 	             	
      1194.045	             	  2.755e+000 	
      1200.003	  2.535e+000 	             	
      1200.043	             	  2.748e+000 	
      1206.000	  2.538e+000 	             	
      1206.042	             	  2.754e+000 	
      1212.041	             	  2.758e+000 	
      1212.065	  2.537e+000 	             	
      1218.040	             	  2.746e+000 	
      1218.064	  2.532e+000 	             	
      1224.038	             	  2.752e+000 	
      1224.063	  2.526e+000 	             	
      1230.037	             	  2.757e+000 	
      1230.064	  2.530e+000 	             	
      1236.036	             	  2.750e+000 	
      1236.067	  2.538e+000 	             	
      1242.035	             	  2.753e+000 	
      1242.058	  2.540e+000 	             	
      1248.034	             	  2.748e+000 	
      1248.057	  2.535e+000 	             	
      1254.032	             	  2.752e+000 	
      1254.056	  2.527e+000 	             	
      1260.031	             	  2.757e+000 	
      1260.059	  2.538e+000 	             	
      1266.030	             	  2.752e+000 	
      1266.054	  2.524e+000 	             	
      1272.029	             	  2.748e+000 	
      1272.051	  2.529e+000 	             	
      1278.027	             	  2.757e+000 	
      1278.050	  2.521e+000 	             	
      1284.026	             	  2.751e+000 	
      1284.049	  2.534e+000 	             	
      1290.025	             	  2.752e+000 	
      1290.053	  2.528e+000 	             	
      1296.024	             	  2.752e+000 	
      1296.048	  2.532e+000 	             	
      1302.023	             	  2.753e+000 	
      1302.045	  2.531e+000 	             	
      1308.021	             	  2.754e+000 	
      1308.044	  2.539e+000 	             	
      1314.043	  2.523e+000 	             	
      1314.087	             	  2.749e+000 	
      1320.047	  2.528e+000 	             	
      1320.086	             	  2.749e+000 	
      1326.040	  2.529e+000 	             	
      1326.084	             	  2.753e+000 	
      1332.038	  2.534e+000 	             	
      1332.083	             	  2.753e+000 	
      1338.037	  2.531e+000 	             	
      1338.082	             	  2.747e+000 	
      1344.037	  2.532e+000 	             	
      1344.081	             	  2.753e+000 	
      1350.040	  2.525e+000 	             	
      1350.079	             	  2.750e+000 	
      1356.035	  2.525e+000 	             	
      1356.078	             	  2.750e+000 	
      1362.033	  2.530e+000 	             	
      1362.077	             	  2.753e+000 	
      1368.031	  2.534e+000 	             	
      1368.076	             	  2.752e+000 	
      1374.031	  2.536e+000 	             	
      1374.075	             	  2.754e+000 	
      1380.034	  2.538e+000 	             	
      1380.073	             	  2.753e+000 	
      1386.026	  2.522e+000 	             	
      1386.072	             	  2.750e+000 	
      1392.026	  2.527e+000 	             	
      1392.071	             	  2.752e+000 	
      1398.024	  2.530e+000 	             	
      1398.070	             	  2.749e+000 	
      1404.026	  2.523e+000 	             	
      1404.068	             	  2.752e+000 	
      1410.021	  2.536e+000 	             	
      1410.067	             	  2.749e+000 	
      1416.022	  2.530e+000 	             	
      1416.066	             	  2.749e+000 	
      1422.018	  2.523e+000 	             	
      1422.065	             	  2.752e+000 	
      1428.017	  2.530e+000 	             	
      1428.064	             	  2.753e+000 	
      1434.020	  2.527e+000 	             	
      1434.062	             	  2.750e+000 	
      1440.015	  2.525e+000 	             	
      1440.061	             	  2.751e+000 	
      1446.014	  2.530e+000 	             	
      1446.060	             	  2.750e+000 	
      1452.012	  2.527e+000 	             	
      1452.059	             	  2.750e+000 	
      1458.010	  2.534e+000 	             	
      1458.057	             	  2.751e+000 	
      1464.014	  2.523e+000 	             	
      1464.056	             	  2.748e+000 	
      1470.008	  2.529e+000 	             	
      1470.055	             	  2.748e+000 	
      1476.009	  2.533e+000 	             	
      1476.054	             	  2.755e+000 	
      1482.005	  2.531e+000 	             	
      1482.053	             	  2.749e+000 	
      1488.003	  2.533e+000 	             	
      1488.051	             	  2.754e+000 	
      1494.008	  2.535e+000 	             	
      1494.050	             	  2.753e+000 	
      1500.001	  2.536e+000 	             	
      1500.049	             	  2.752e+000 	
      1506.000	  2.530e+000 	             	
      1506.048	             	  2.752e+000 	
      1512.046	             	  2.750e+000 	
      1512.065	  2.534e+000 	             	
      1518.045	             	  2.751e+000 	
      1518.063	  2.530e+000 	             	
      1524.001	  2.536e+000 	             	
      1524.044	             	  2.755e+000 	
      1530.043	             	  2.753e+000 	
      1530.061	  2.539e+000 	             	
      1536.042	             	  2.751e+000 	
      1536.060	  2.529e+000 	             	
      1542.040	             	  2.750e+000 	
      1542.059	  2.529e+000 	             	
      1548.039	             	  2.751e+000 	
      1548.058	  2.525e+000 	             	
      1554.038	             	  2.751e+000 	
      1554.061	  2.528e+000 	             	
      1560.037	             	  2.752e+000 	
      1560.054	  2.520e+000 	             	
      1566.035	             	  2.744e+000 	
      1566.053	  2.532e+000 	             	
      1572.034	             	  2.752e+000 	
      1572.051	  2.524e+000 	             	
      1578.033	             	  2.752e+000 	
      1578.052	  2.532e+000 	             	
      1584.032	             	  2.756e+000 	
      1584.055	  2.525e+000 	             	
      1590.031	             	  2.748e+000 	
      1590.048	  2.534e+000 	             	
      1596.029	             	  2.748e+000 	
      1596.047	  2.528e+000 	             	
      1602.028	             	  2.751e+000 	
      1602.045	  2.525e+000 	             	
      1608.027	             	  2.748e+000 	
      1608.047	  2.534e+000 	             	
      1614.026	             	  2.752e+000 	
      1614.043	  2.536e+000 	             	
      1620.024	             	  2.742e+000 	
      1620.041	  2.536e+000 	             	
      1626.023	             	  2.751e+000 	
      1626.039	  2.523e+000 	             	
      1632.022	             	  2.746e+000 	
      1632.038	  2.522e+000 	             	
      1638.041	  2.531e+000 	             	
      1638.087	             	  2.748e+000 	
      1644.036	  2.529e+000 	             	
      1644.086	             	  2.751e+000 	
      1650.035	  2.527e+000 	             	
      1650.085	             	  2.749e+000 	
      1656.033	  2.530e+000 	             	
      1656.084	             	  2.751e+000 	
      1662.032	  2.534e+000 	             	
      1662.082	             	  2.751e+000 	
      1668.035	  2.528e+000 	             	
      1668.081	             	  2.754e+000 	
      1674.030	  2.534e+000 	             	
      1674.080	             	  2.741e+000 	
      1680.028	  2.524e+000 	             	
      1680.079	             	  2.750e+000 	
      1686.027	  2.523e+000 	             	
      1686.078	             	  2.749e+000 	
      1692.026	  2.534e+000 	             	
      1692.076	             	  2.752e+000 	
      1698.029	  2.530e+000 	             	
      1698.075	             	  2.755e+000 	
      1704.023	  2.523e+000 	             	
      1704.074	             	  2.755e+000 	
      1710.022	  2.535e+000 	             	
      1710.073	             	  2.751e+000 	
      1716.020	  2.529e+000 	             	
      1716.071	             	  2.751e+000 	
      1722.019	  2.531e+000 	             	
      1722.070	             	  2.750e+000 	
      1728.023	  2.534e+000 	             	
      1728.069	             	  2.750e+000 	
      1734.016	  2.517e+000 	             	
      1734.068	             	  2.749e+000 	
      1740.015	  2.528e+000 	             	
      1740.067	             	  2.749e+000 	
      1746.014	  2.529e+000 	             	
      1746.065	             	  2.748e+000 	
      1752.012	  2.536e+000 	             	
      1752.064	             	  2.747e+000 	
      1758.017	  2.528e+000 	             	
      1758.063	             	  2.751e+000 	
      1764.010	  2.529e+000 	             	
      1764.062	             	  2.739e+000 	
      1770.008	  2.535e+000 	             	
      1770.060	             	  2.752e+000 	
      1776.006	  2.520e+000 	             	
      1776.059	             	  2.747e+000 	
      1782.008	  2.534e+000 	             	
      1782.058	             	  2.750e+000 	
      1788.010	  2.526e+000 	             	
      1788.057	             	  2.735e+000 	
      1794.003	  2.521e+000 	             	
      1794.056	             	  2.749e+000 	
      1800.001	  2.528e+000 	             	
      1800.054	             	  2.745e+000 	
      1806.000	  2.536e+000 	             	
      1806.053	             	  2.751e+000 	
      1812.002	  2.524e+000 	             	
      1812.052	             	  2.750e+000 	
      1818.051	             	  2.747e+000 	
      1818.064	  2.538e+000 	             	
      1824.049	             	  2.754e+000 	
      1824.063	  2.534e+000 	             	
      1830.048	             	  2.751e+000 	
      1830.061	  2.539e+000 	             	
      1836.047	             	  2.750e+000 	
      1836.060	  2.535e+000 	             	
      1842.046	             	  2.752e+000 	
      1842.062	  2.536e+000 	             	
      1848.045	             	  2.744e+000 	
      1848.058	  2.525e+000 	             	
      1854.043	             	  2.747e+000 	
      1854.056	  2.531e+000 	             	
      1860.042	             	  2.750e+000 	
      1860.055	  2.526e+000 	             	
      1866.041	             	  2.752e+000 	
      1866.054	  2.531e+000 	             	
      1872.040	             	  2.746e+000 	
      1872.057	  2.526e+000 	             	
      1878.038	             	  2.748e+000 	
      1878.051	  2.531e+000 	             	
      1884.037	             	  2.744e+000 	
      1884.050	  2.533e+000 	             	
      1890.036	             	  2.750e+000 	
      1890.049	  2.531e+000 	             	
      1896.035	             	  2.747e+000 	
      1896.047	  2.518e+000 	             	
      1902.034	             	  2.753e+000 	
      1902.050	  2.531e+000 	             	
      1908.032	             	  2.755e+000 	
      1908.044	  2.528e+000 	             	
      1914.031	             	  2.749e+000 	
      1914.043	  2.520e+000 	             	
      1920.030	             	  2.753e+000 	
      1920.042	  2.543e+000 	             	
      1926.029	             	  2.749e+000 	
      1926.041	  2.520e+000 	             	
      1932.027	             	  2.750e+000 	
      1932.044	  2.525e+000 	             	
      1938.026	             	  2.747e+000 	
      1938.037	  2.530e+000 	             	
      1944.025	             	  2.752e+000 	
      1944.036	  2.529e+000 	             	
      1950.024	             	  2.752e+000 	
      1950.035	  2.532e+000 	             	
      1956.023	             	  2.746e+000 	
      1956.034	  2.526e+000 	             	
      1962.021	             	  2.739e+000 	
