;PC Software:PMManager Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the PMManager Log reader from opening the file correctly. ********
;Logged:16/11/2020 at 09:57:09
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Sample:of period: 00:00:06
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:843-R-USB Thermopile 919P-030-18 (s/n:950105)  EF1.39 (s/n:947127)
;Channel B:841-PE-USB Thermopile 919P-030-18 (s/n:904190)  FO2.04 (s/n:903878)

;Channel A:Details
;Name:919P-030-18
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:370
;Settings:Range:AUTO

;Channel B:Details
;Name:919P-030-18
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:380
;Settings:Range:AUTO

;Channel A:Statistics
;Min:0.000W              
;Max:0.000W              
;Average:0.000W              
;Std.Dev.:0.000W              
;Overrange:0                   

;Channel B:Statistics
;Min:0.000W              
;Max:0.000W              
;Average:0.000W              
;Std.Dev.:0.000W              
;Overrange:0                   
;--------------------


;First Pulse Arrived : 16/11/2020 at 09:57:09.644000
  Timestamp   	  Channel A  	  Channel B  	
      1638.018	             	  2.686e+000 	
      1638.039	  2.470e+000 	             	
      1644.043	  2.469e+000 	             	
      1644.084	             	  2.683e+000 	
      1650.036	  2.472e+000 	             	
      1650.083	             	  2.686e+000 	
      1656.033	  2.469e+000 	             	
      1656.081	             	  2.682e+000 	
      1662.033	  2.472e+000 	             	
      1662.080	             	  2.684e+000 	
      1668.034	  2.472e+000 	             	
      1668.079	             	  2.681e+000 	
      1674.030	  2.474e+000 	             	
      1674.078	             	  2.678e+000 	
      1680.028	  2.470e+000 	             	
      1680.076	             	  2.687e+000 	
      1686.027	  2.476e+000 	             	
      1686.075	             	  2.684e+000 	
      1692.026	  2.462e+000 	             	
      1692.074	             	  2.687e+000 	
      1698.028	  2.471e+000 	             	
      1698.073	             	  2.685e+000 	
      1704.023	  2.469e+000 	             	
      1704.072	             	  2.682e+000 	
      1710.022	  2.468e+000 	             	
      1710.070	             	  2.686e+000 	
      1716.021	  2.471e+000 	             	
      1716.069	             	  2.685e+000 	
      1722.019	  2.475e+000 	             	
      1722.068	             	  2.687e+000 	
      1728.023	  2.470e+000 	             	
      1728.067	             	  2.684e+000 	
      1734.017	  2.470e+000 	             	
      1734.065	             	  2.679e+000 	
      1740.016	  2.471e+000 	             	
      1740.064	             	  2.688e+000 	
      1746.014	  2.477e+000 	             	
      1746.063	             	  2.685e+000 	
      1752.013	  2.470e+000 	             	
      1752.062	             	  2.678e+000 	
      1758.018	  2.471e+000 	             	
      1758.061	             	  2.690e+000 	
      1764.010	  2.466e+000 	             	
      1764.059	             	  2.679e+000 	
      1770.009	  2.467e+000 	             	
      1770.058	             	  2.685e+000 	
      1776.007	  2.469e+000 	             	
      1776.057	             	  2.680e+000 	
      1782.006	  2.456e+000 	             	
      1782.056	             	  2.681e+000 	
      1788.011	  2.467e+000 	             	
      1788.054	             	  2.683e+000 	
      1794.003	  2.466e+000 	             	
      1794.053	             	  2.682e+000 	
      1800.002	  2.466e+000 	             	
      1800.052	             	  2.684e+000 	
      1806.000	  2.468e+000 	             	
      1806.051	             	  2.687e+000 	
      1812.000	  2.470e+000 	             	
      1812.050	             	  2.681e+000 	
      1818.004	  2.466e+000 	             	
      1818.048	             	  2.682e+000 	
      1824.047	             	  2.686e+000 	
      1824.063	  2.467e+000 	             	
      1830.046	             	  2.683e+000 	
      1830.062	  2.462e+000 	             	
      1836.045	             	  2.691e+000 	
      1836.061	  2.473e+000 	             	
      1842.043	             	  2.681e+000 	
      1842.061	  2.460e+000 	             	
      1848.042	             	  2.684e+000 	
      1848.064	  2.471e+000 	             	
      1854.041	             	  2.686e+000 	
      1854.057	  2.478e+000 	             	
      1860.040	             	  2.685e+000 	
      1860.056	  2.472e+000 	             	
      1866.039	             	  2.683e+000 	
      1866.055	  2.467e+000 	             	
      1872.037	             	  2.686e+000 	
      1872.056	  2.464e+000 	             	
      1878.036	             	  2.688e+000 	
      1878.052	  2.468e+000 	             	
      1884.035	             	  2.685e+000 	
      1884.049	  2.469e+000 	             	
      1890.034	             	  2.681e+000 	
      1890.049	  2.471e+000 	             	
      1896.032	             	  2.683e+000 	
      1896.048	  2.472e+000 	             	
      1902.031	             	  2.683e+000 	
      1902.049	  2.480e+000 	             	
      1908.030	             	  2.673e+000 	
      1908.045	  2.464e+000 	             	
      1914.029	             	  2.684e+000 	
      1914.043	  2.466e+000 	             	
      1920.028	             	  2.684e+000 	
      1920.042	  2.471e+000 	             	
      1926.026	             	  2.675e+000 	
      1926.041	  2.467e+000 	             	
      1932.025	             	  2.683e+000 	
      1932.044	  2.470e+000 	             	
      1938.024	             	  2.688e+000 	
      1938.038	  2.459e+000 	             	
      1944.023	             	  2.683e+000 	
      1944.037	  2.467e+000 	             	
      1950.021	             	  2.678e+000 	
      1950.036	  2.471e+000 	             	
      1956.020	             	  2.684e+000 	
      1956.034	  2.464e+000 	             	
      1962.019	             	  2.689e+000 	
      1962.039	  2.465e+000 	             	
      1968.032	  2.467e+000 	             	
